date,total_incidents,weather_related_incidents,avg_delay_min,disrupted_trains,pct_weather_incidents,precip_mm,tmax_c,tmin_c,tmean_c,windspeed_kmh,precip_hours,et0_mm,precip_in,tmax_f,tmin_f,tmean_f,heavy_rain,extreme_rain,extreme_heat,heat_emergency,heat_wave_day,weather_stress,year,month,dow,season,lag1_precip_mm,lag2_precip_mm,lag3_precip_mm,roll3_precip_mm,roll7_precip_mm,prev_extreme_heat,prev_heavy_rain,heat_index_approx,heat_wave_streak
2020-01-01,210,0,8.3,1212,0.0,0.0,4.4,-0.5,2.3,28.2,0.0,1.43,0.0,39.92,31.1,36.14,0,0,0,0,0,0,2020,1,2,Winter,,,,,,0,0,0.2845000000000004,0
2020-01-02,205,0,8.417391304347825,1183,0.0,0.0,9.0,-2.2,2.5,17.3,0.0,1.11,0.0,48.2,28.04,36.5,0,0,0,0,0,0,2020,1,3,Winter,0.0,,,,,0,0,4.4918,0
2020-01-03,210,0,8.552173913043477,1204,0.0,4.0,9.4,2.3,6.6,12.4,12.0,0.56,0.1574803149606299,48.92,36.14,43.88,0,0,0,0,0,0,2020,1,4,Winter,0.0,0.0,,4.0,,0,0,5.9313,0
2020-01-04,202,0,8.773913043478261,1181,0.0,6.2,10.1,5.7,7.8,24.9,19.0,0.29,0.2440944881889764,50.18,42.260000000000005,46.04,0,0,0,0,0,0,2020,1,5,Winter,4.0,0.0,0.0,10.2,,0,0,7.416699999999999,0
2020-01-05,199,0,8.143478260869566,1139,0.0,0.9,5.2,-1.4,2.8,37.1,3.0,1.57,0.0354330708661417,41.36,29.48,37.04,0,0,0,0,0,0,2020,1,6,Winter,6.2,4.0,0.0,11.1,,0,0,0.8765999999999998,0
2020-01-06,209,0,7.78695652173913,1199,0.0,1.3,7.8,-0.4,2.9,25.9,4.0,1.32,0.0511811023622047,46.04,31.28,37.22,0,0,0,0,0,0,2020,1,0,Winter,0.9,6.2,4.0,8.4,,0,0,3.7076000000000002,0
2020-01-07,208,0,8.256521739130434,1187,0.0,0.8,6.1,-0.6,2.6,18.9,5.0,1.19,0.0314960629921259,42.98,30.92,36.68,0,0,0,0,0,0,2020,1,1,Winter,1.3,0.9,6.2,3.0,13.200000000000001,0,0,1.9613999999999994,0
2020-01-08,210,0,8.404347826086957,1211,0.0,0.1,5.1,-1.5,1.0,33.1,1.0,1.48,0.0039370078740157,41.18,29.3,33.8,0,0,0,0,0,0,2020,1,2,Winter,0.8,1.3,0.9,2.2,13.3,0,0,0.7534999999999998,0
2020-01-09,199,0,8.156521739130435,1162,0.0,0.0,0.6,-4.9,-2.1,23.2,0.0,1.26,0.0,33.08,23.18,28.22,0,0,0,0,0,0,2020,1,3,Winter,0.1,0.8,1.3,0.9,13.3,0,0,-4.5319,0
2020-01-10,200,0,8.8,1158,0.0,0.0,11.2,-1.0,5.0,24.8,0.0,0.91,0.0,52.16,30.2,41.0,0,0,0,0,0,0,2020,1,4,Winter,0.0,0.1,0.8,0.1,9.3,0,0,6.968999999999999,0
2020-01-11,205,0,8.57391304347826,1190,0.0,0.2,18.4,7.9,13.9,34.2,2.0,1.85,0.0078740157480314,65.12,46.22,57.02,0,0,0,0,0,0,2020,1,5,Winter,0.0,0.0,0.1,0.2,3.3000000000000003,0,0,16.224899999999998,0
2020-01-12,206,0,8.578260869565218,1199,0.0,2.7,18.9,6.8,14.8,45.6,5.0,2.43,0.1062992125984252,66.02,44.24,58.64,0,0,0,0,0,0,2020,1,6,Winter,0.2,0.0,0.0,2.9000000000000004,5.1000000000000005,0,0,16.470799999999997,0
2020-01-13,210,0,8.791304347826086,1215,0.0,0.2,8.9,1.2,4.9,18.4,2.0,0.64,0.0078740157480314,48.02,34.16,40.82,0,0,0,0,0,0,2020,1,0,Winter,2.7,0.2,0.0,3.1000000000000005,4.0,0,0,5.177200000000001,0
2020-01-14,214,0,8.42608695652174,1238,0.0,0.3,6.8,1.0,4.2,15.3,2.0,0.48,0.0118110236220472,44.24,33.8,39.56,0,0,0,0,0,0,2020,1,1,Winter,0.2,2.7,0.2,3.2,3.5000000000000004,0,0,3.0309999999999997,0
2020-01-15,206,0,8.31304347826087,1196,0.0,0.1,9.4,3.0,5.8,16.1,1.0,1.05,0.0039370078740157,48.92,37.4,42.44,0,0,0,0,0,0,2020,1,2,Winter,0.3,0.2,2.7,0.6,3.5000000000000004,0,0,6.093,0
2020-01-16,210,0,8.552173913043479,1204,0.0,1.8,8.7,1.4,5.7,38.8,9.0,1.62,0.0708661417322834,47.66,34.52,42.260000000000005,0,0,0,0,0,0,2020,1,3,Winter,0.1,0.3,0.2,2.2,5.300000000000001,0,0,5.023399999999999,0
2020-01-17,203,0,8.243478260869566,1198,0.0,0.0,0.9,-5.3,-3.0,34.9,0.0,1.69,0.0,33.62,22.46,26.6,0,0,0,0,0,0,2020,1,4,Winter,1.8,0.1,0.3,1.9,5.300000000000001,0,0,-4.3243,0
2020-01-18,202,0,8.365217391304348,1172,0.0,8.4,2.5,-6.2,-3.1,24.2,10.0,0.7,0.3307086614173228,36.5,20.84,26.42,0,0,0,0,0,0,2020,1,5,Winter,0.0,1.8,0.1,10.200000000000001,13.5,0,0,-2.9322,0
2020-01-19,201,0,8.68695652173913,1158,0.0,1.5,7.2,-1.1,2.9,28.7,4.0,1.37,0.0590551181102362,44.96,30.02,37.22,0,0,0,0,0,0,2020,1,6,Winter,8.4,0.0,1.8,9.9,12.300000000000002,0,0,2.9459,0
2020-01-20,205,0,8.334782608695651,1172,0.0,0.0,-0.8,-7.1,-3.9,26.1,0.0,1.49,0.0,30.56,19.22,24.98,0,0,0,0,0,0,2020,1,0,Winter,1.5,8.4,0.0,9.9,12.100000000000001,0,0,-6.4401,0
2020-01-21,203,0,8.534782608695652,1183,0.0,0.0,1.2,-6.6,-3.4,17.4,0.0,1.23,0.0,34.16,20.12,25.880000000000003,0,0,0,0,0,0,2020,1,1,Winter,0.0,1.5,8.4,1.5,11.8,0,0,-4.3246,0
2020-01-22,206,0,8.039130434782608,1181,0.0,0.0,3.0,-5.3,-2.2,9.4,0.0,1.0,0.0,37.4,22.46,28.04,0,0,0,0,0,0,2020,1,2,Winter,0.0,0.0,1.5,0.0,11.700000000000001,0,0,-2.2243,0
2020-01-23,209,0,8.860869565217392,1219,0.0,0.0,7.1,-4.3,0.1,9.9,0.0,1.03,0.0,44.78,24.26,32.18,0,0,0,0,0,0,2020,1,3,Winter,0.0,0.0,0.0,0.0,9.900000000000002,0,0,2.1067,0
2020-01-24,195,0,8.2,1146,0.0,0.0,9.6,-2.7,2.9,12.7,0.0,1.35,0.0,49.28,27.14,37.22,0,0,0,0,0,0,2020,1,4,Winter,0.0,0.0,0.0,0.0,9.900000000000002,0,0,4.9763,0
2020-01-25,280,0,13.41304347826087,1612,0.0,25.5,9.8,0.9,5.1,34.2,9.0,0.23,1.0039370078740155,49.64,33.62,41.18,1,0,0,0,0,1,2020,1,5,Winter,0.0,0.0,0.0,25.5,27.0,0,0,6.007900000000001,0
2020-01-26,206,0,8.643478260869566,1191,0.0,0.0,7.9,0.9,4.0,22.7,0.0,1.24,0.0,46.22,33.62,39.2,0,0,0,0,0,0,2020,1,6,Winter,25.5,0.0,0.0,25.5,25.5,0,1,4.107900000000001,0
2020-01-27,210,0,8.504347826086956,1207,0.0,0.0,7.3,-0.3,3.3,22.3,0.0,1.17,0.0,45.14,31.46,37.94,0,0,0,0,0,0,2020,1,0,Winter,0.0,25.5,0.0,25.5,25.5,0,0,3.2306999999999997,0
2020-01-28,205,0,8.208695652173914,1189,0.0,0.0,5.5,-0.3,3.0,22.4,0.0,1.43,0.0,41.9,31.46,37.4,0,0,0,0,0,0,2020,1,1,Winter,0.0,0.0,25.5,0.0,25.5,0,0,1.4306999999999999,0
2020-01-29,199,0,8.68695652173913,1149,0.0,0.0,4.4,-2.3,0.7,19.0,0.0,1.53,0.0,39.92,27.86,33.26,0,0,0,0,0,0,2020,1,2,Winter,0.0,0.0,0.0,0.0,25.5,0,0,-0.13129999999999953,0
2020-01-30,205,0,8.156521739130435,1174,0.0,0.0,1.4,-5.4,-1.9,16.3,0.0,1.1,0.0,34.52,22.28,28.58,0,0,0,0,0,0,2020,1,3,Winter,0.0,0.0,0.0,0.0,25.5,0,0,-3.8474000000000004,0
2020-01-31,200,0,8.204347826086956,1150,0.0,1.0,6.4,-2.7,2.2,11.9,3.0,0.78,0.0393700787401574,43.52,27.14,35.96,0,0,0,0,0,0,2020,1,4,Winter,0.0,0.0,0.0,1.0,26.5,0,0,1.7763,0
2020-02-01,229,0,8.756521739130434,1219,0.0,0.4,5.7,-0.8,2.6,6.6,3.0,0.48,0.0157480314960629,42.260000000000005,30.56,36.68,0,0,0,0,0,0,2020,2,5,Winter,1.0,0.0,0.0,1.4,1.4,0,0,1.5152,0
2020-02-02,220,0,7.952173913043478,1179,0.0,3.2,6.2,0.5,2.8,20.3,17.0,0.95,0.1259842519685039,43.16,32.9,37.04,0,0,0,0,0,0,2020,2,6,Winter,0.4,1.0,0.0,4.6,4.6,0,0,2.3155,0
2020-02-03,227,0,8.660869565217391,1201,0.0,0.5,12.5,0.2,5.8,18.5,2.0,1.57,0.0196850393700787,54.5,32.36,42.44,0,0,0,0,0,0,2020,2,0,Winter,3.2,0.4,1.0,4.1,5.1,0,0,8.5462,0
2020-02-04,216,0,8.295652173913044,1157,0.0,2.3,13.2,2.8,7.1,17.6,8.0,0.66,0.0905511811023622,55.76,37.04,44.78,0,0,0,0,0,0,2020,2,1,Winter,0.5,3.2,0.4,6.0,7.4,0,0,9.8468,0
2020-02-05,227,0,8.134782608695652,1211,0.0,0.8,9.1,3.5,5.0,21.3,6.0,0.91,0.0314960629921259,48.38,38.3,41.0,0,0,0,0,0,0,2020,2,2,Winter,2.3,0.5,3.2,3.5999999999999996,8.2,0,0,5.9085,0
2020-02-06,212,0,8.308695652173913,1146,0.0,16.1,6.6,2.2,4.4,19.1,21.0,0.4,0.6338582677165355,43.88,35.96,39.92,0,0,0,0,0,0,2020,2,3,Winter,0.8,2.3,0.5,19.200000000000003,24.3,0,0,3.1082,0
2020-02-07,208,0,8.182608695652174,1120,0.0,10.2,14.1,1.0,5.1,46.6,17.0,1.13,0.4015748031496063,57.38,33.8,41.18,0,0,0,0,0,0,2020,2,4,Winter,16.1,0.8,2.3,27.1,33.5,0,0,10.331,0
2020-02-08,217,0,8.439130434782609,1159,0.0,0.0,4.9,-2.3,1.0,26.2,0.0,1.74,0.0,40.82,27.86,33.8,0,0,0,0,0,0,2020,2,5,Winter,10.2,16.1,0.8,26.3,33.1,0,0,0.36870000000000047,0
2020-02-09,212,0,8.517391304347827,1133,0.0,0.0,6.7,-2.1,1.4,13.2,0.0,0.97,0.0,44.06,28.22,34.52,0,0,0,0,0,0,2020,2,6,Winter,0.0,10.2,16.1,10.2,29.9,0,0,2.2149,0
2020-02-10,217,0,8.604347826086956,1154,0.0,9.8,8.9,2.8,5.6,25.5,19.0,0.66,0.3858267716535433,48.02,37.04,42.08,0,0,0,0,0,0,2020,2,0,Winter,0.0,0.0,10.2,9.8,39.2,0,0,5.546800000000001,0
2020-02-11,230,0,8.421739130434782,1212,0.0,9.1,7.7,4.9,6.3,16.3,17.0,0.37,0.3582677165354331,45.86,40.82,43.34,0,0,0,0,0,0,2020,2,1,Winter,9.8,0.0,0.0,18.9,46.0,0,0,4.831900000000001,0
2020-02-12,224,0,8.643478260869564,1200,0.0,0.3,7.3,0.9,4.4,23.3,2.0,1.8,0.0118110236220472,45.14,33.62,39.92,0,0,0,0,0,0,2020,2,2,Winter,9.1,9.8,0.0,19.2,45.5,0,0,3.5079000000000002,0
2020-02-13,216,0,8.226086956521739,1145,0.0,19.6,6.6,2.3,4.3,21.4,18.0,0.41,0.7716535433070867,43.88,36.14,39.74,0,0,0,0,0,0,2020,2,3,Winter,0.3,9.1,9.8,29.0,49.0,0,0,3.1312999999999995,0
2020-02-14,217,0,8.052173913043477,1155,0.0,0.0,3.0,-6.8,-1.0,27.2,0.0,1.73,0.0,37.4,19.76,30.2,0,0,0,0,0,0,2020,2,4,Winter,19.6,0.3,9.1,19.9,38.8,0,0,-2.5708,0
2020-02-15,215,0,8.97391304347826,1149,0.0,0.0,-1.5,-9.1,-5.5,20.9,0.0,1.33,0.0,29.3,15.62,22.1,0,0,0,0,0,0,2020,2,5,Winter,0.0,19.6,0.3,19.6,38.8,0,0,-7.6021,0
2020-02-16,223,0,8.113043478260868,1187,0.0,0.0,7.8,-3.1,1.6,16.8,0.0,1.28,0.0,46.04,26.42,34.88,0,0,0,0,0,0,2020,2,6,Winter,0.0,0.0,19.6,0.0,38.8,0,0,3.0839,0
2020-02-17,216,0,8.326086956521738,1151,0.0,0.0,9.9,-1.1,3.7,15.3,0.0,1.72,0.0,49.82,30.02,38.66,0,0,0,0,0,0,2020,2,0,Winter,0.0,0.0,0.0,0.0,29.0,0,0,5.645900000000001,0
2020-02-18,219,0,8.078260869565218,1166,0.0,1.3,9.4,0.6,4.5,17.7,6.0,0.68,0.0511811023622047,48.92,33.08,40.1,0,0,0,0,0,0,2020,2,1,Winter,0.0,0.0,0.0,1.3,21.2,0,0,5.538600000000001,0
2020-02-19,219,0,8.773913043478261,1185,0.0,0.0,8.1,-0.4,4.9,24.7,0.0,2.1,0.0,46.58,31.28,40.82,0,0,0,0,0,0,2020,2,2,Winter,1.3,0.0,0.0,1.3,20.900000000000002,0,0,4.0076,0
2020-02-20,221,0,8.91304347826087,1179,0.0,0.0,3.3,-3.2,-0.3,19.4,0.0,1.65,0.0,37.94,26.24,31.46,0,0,0,0,0,0,2020,2,3,Winter,0.0,1.3,0.0,1.3,1.3,0,0,-1.4392,0
2020-02-21,220,0,8.18695652173913,1172,0.0,0.0,1.9,-6.3,-2.6,19.4,0.0,1.79,0.0,35.42,20.66,27.32,0,0,0,0,0,0,2020,2,4,Winter,0.0,0.0,1.3,0.0,1.3,0,0,-3.5553,0
2020-02-22,224,0,8.782608695652174,1196,0.0,0.0,8.9,-3.5,1.8,22.0,0.0,2.39,0.0,48.02,25.7,35.24,0,0,0,0,0,0,2020,2,5,Winter,0.0,0.0,0.0,0.0,1.3,0,0,4.0915,0
2020-02-23,225,0,8.191304347826087,1187,0.0,0.0,11.9,-2.7,4.3,18.2,0.0,2.61,0.0,53.42,27.14,39.74,0,0,0,0,0,0,2020,2,6,Winter,0.0,0.0,0.0,0.0,1.3,0,0,7.276300000000001,0
2020-02-24,221,0,8.417391304347825,1174,0.0,0.0,12.9,-1.2,5.4,14.8,0.0,2.14,0.0,55.22,29.84,41.72,0,0,0,0,0,0,2020,2,0,Winter,0.0,0.0,0.0,0.0,1.3,0,0,8.6228,0
2020-02-25,219,0,8.378260869565217,1161,0.0,2.7,10.1,4.6,7.4,11.8,11.0,0.89,0.1062992125984252,50.18,40.28,45.32,0,0,0,0,0,0,2020,2,1,Winter,0.0,0.0,0.0,2.7,2.7,0,0,7.162599999999999,0
2020-02-26,212,0,8.382608695652175,1139,0.0,0.1,10.4,5.4,7.3,20.9,1.0,0.7,0.0039370078740157,50.72,41.72,45.14,0,0,0,0,0,0,2020,2,2,Winter,2.7,0.0,0.0,2.8000000000000003,2.8000000000000003,0,0,7.647400000000001,0
2020-02-27,206,0,8.252173913043478,1110,0.0,12.1,8.6,-0.9,4.4,39.9,8.0,2.09,0.4763779527559055,47.48,30.38,39.92,0,0,0,0,0,0,2020,2,3,Winter,0.1,2.7,0.0,14.9,14.9,0,0,4.392099999999999,0
2020-02-28,214,0,8.843478260869565,1157,0.0,0.0,5.0,-2.6,0.6,34.8,0.0,2.36,0.0,41.0,27.32,33.08,0,0,0,0,0,0,2020,2,4,Winter,12.1,0.1,2.7,12.2,14.9,0,0,0.3994,0
2020-02-29,216,0,8.147826086956522,1152,0.0,0.0,2.6,-3.8,-1.1,30.5,0.0,2.01,0.0,36.68,25.16,30.02,0,0,0,0,0,0,2020,2,5,Winter,0.0,12.1,0.1,12.1,14.9,0,0,-2.2778,0
2020-03-01,139,0,8.269565217391303,684,0.0,0.0,6.9,-4.6,0.1,22.7,0.0,2.08,0.0,44.42,23.72,32.18,0,0,0,0,0,0,2020,3,6,Spring,0.0,0.0,12.1,0.0,14.9,0,0,1.8374000000000006,0
2020-03-02,140,0,8.052173913043477,692,0.0,0.0,13.6,-1.4,6.4,29.2,0.0,2.64,0.0,56.48,29.48,43.52,0,0,0,0,0,0,2020,3,0,Spring,0.0,0.0,0.0,0.0,14.9,0,0,9.2766,0
2020-03-03,143,0,8.791304347826086,698,0.0,6.6,13.6,6.6,9.5,25.5,10.0,1.49,0.2598425196850393,56.48,43.88,49.1,0,0,0,0,0,0,2020,3,1,Spring,0.0,0.0,0.0,6.6,18.799999999999997,0,0,11.1246,0
2020-03-04,141,0,8.52608695652174,692,0.0,3.3,13.2,5.2,8.8,34.3,2.0,3.14,0.1299212598425196,55.76,41.36,47.84,0,0,0,0,0,0,2020,3,2,Spring,6.6,0.0,0.0,9.899999999999999,22.0,0,0,10.4012,0
2020-03-05,139,0,8.42608695652174,679,0.0,0.0,10.6,1.4,5.4,19.7,0.0,2.46,0.0,51.08,34.52,41.72,0,0,0,0,0,0,2020,3,3,Spring,3.3,6.6,0.0,9.899999999999999,9.899999999999999,0,0,6.923399999999999,0
2020-03-06,141,0,8.130434782608695,688,0.0,4.2,7.2,0.3,4.1,21.4,11.0,0.79,0.1653543307086614,44.96,32.54,39.38,0,0,0,0,0,0,2020,3,4,Spring,0.0,3.3,6.6,7.5,14.1,0,0,3.2693000000000003,0
2020-03-07,144,0,8.378260869565217,698,0.0,0.5,8.4,1.1,3.9,28.0,2.0,2.57,0.0196850393700787,47.120000000000005,33.98,39.02,0,0,0,0,0,0,2020,3,5,Spring,4.2,0.0,3.3,4.7,14.6,0,0,4.6541,0
