date,line,total_incidents,weather_related_incidents,avg_delay_min,disrupted_trains,data_source,month_total_real
2020-01-01,1,11,0,7.9,58,real_monthly_downscaled,326
2020-01-02,1,10,0,7.7,52,real_monthly_downscaled,326
2020-01-03,1,11,0,7.3,59,real_monthly_downscaled,326
2020-01-04,1,11,0,9.4,56,real_monthly_downscaled,326
2020-01-05,1,9,0,10.2,47,real_monthly_downscaled,326
2020-01-06,1,12,0,8.3,61,real_monthly_downscaled,326
2020-01-07,1,11,0,7.2,57,real_monthly_downscaled,326
2020-01-08,1,11,0,7.3,58,real_monthly_downscaled,326
2020-01-09,1,9,0,9.5,47,real_monthly_downscaled,326
2020-01-10,1,10,0,9.6,52,real_monthly_downscaled,326
2020-01-11,1,10,0,9.3,51,real_monthly_downscaled,326
2020-01-12,1,11,0,7.5,60,real_monthly_downscaled,326
2020-01-13,1,11,0,8.8,56,real_monthly_downscaled,326
2020-01-14,1,11,0,8.7,58,real_monthly_downscaled,326
2020-01-15,1,10,0,8.8,52,real_monthly_downscaled,326
2020-01-16,1,9,0,9.8,49,real_monthly_downscaled,326
2020-01-17,1,10,0,8.8,54,real_monthly_downscaled,326
2020-01-18,1,9,0,9.5,46,real_monthly_downscaled,326
2020-01-19,1,11,0,8.6,59,real_monthly_downscaled,326
2020-01-20,1,11,0,8.9,55,real_monthly_downscaled,326
2020-01-21,1,11,0,9.4,57,real_monthly_downscaled,326
2020-01-22,1,10,0,6.3,51,real_monthly_downscaled,326
2020-01-23,1,12,0,8.0,61,real_monthly_downscaled,326
2020-01-24,1,11,0,7.8,60,real_monthly_downscaled,326
2020-01-25,1,15,0,12.5,78,real_monthly_downscaled,326
2020-01-26,1,9,0,8.1,48,real_monthly_downscaled,326
2020-01-27,1,10,0,10.7,53,real_monthly_downscaled,326
2020-01-28,1,9,0,7.2,46,real_monthly_downscaled,326
2020-01-29,1,9,0,10.0,48,real_monthly_downscaled,326
2020-01-30,1,11,0,6.0,56,real_monthly_downscaled,326
2020-01-31,1,11,0,8.0,57,real_monthly_downscaled,326
2020-01-01,2,14,0,8.4,66,real_monthly_downscaled,411
2020-01-02,2,14,0,6.0,64,real_monthly_downscaled,411
2020-01-03,2,14,0,6.3,65,real_monthly_downscaled,411
2020-01-04,2,13,0,6.5,60,real_monthly_downscaled,411
2020-01-05,2,12,0,7.0,54,real_monthly_downscaled,411
2020-01-06,2,13,0,9.1,62,real_monthly_downscaled,411
2020-01-07,2,12,0,7.1,58,real_monthly_downscaled,411
2020-01-08,2,13,0,7.9,62,real_monthly_downscaled,411
2020-01-09,2,15,0,10.4,70,real_monthly_downscaled,411
2020-01-10,2,12,0,8.0,58,real_monthly_downscaled,411
2020-01-11,2,12,0,9.6,55,real_monthly_downscaled,411
2020-01-12,2,13,0,7.1,59,real_monthly_downscaled,411
2020-01-13,2,13,0,8.2,60,real_monthly_downscaled,411
2020-01-14,2,14,0,7.1,67,real_monthly_downscaled,411
2020-01-15,2,14,0,8.0,65,real_monthly_downscaled,411
2020-01-16,2,15,0,9.8,69,real_monthly_downscaled,411
2020-01-17,2,14,0,5.9,67,real_monthly_downscaled,411
2020-01-18,2,13,0,9.2,62,real_monthly_downscaled,411
2020-01-19,2,15,0,8.9,69,real_monthly_downscaled,411
2020-01-20,2,12,0,7.6,57,real_monthly_downscaled,411
2020-01-21,2,11,0,6.3,54,real_monthly_downscaled,411
2020-01-22,2,12,0,8.6,56,real_monthly_downscaled,411
2020-01-23,2,14,0,7.7,68,real_monthly_downscaled,411
2020-01-24,2,13,0,8.8,63,real_monthly_downscaled,411
2020-01-25,2,16,0,13.5,77,real_monthly_downscaled,411
2020-01-26,2,13,0,10.9,63,real_monthly_downscaled,411
2020-01-27,2,12,0,8.1,57,real_monthly_downscaled,411
2020-01-28,2,14,0,7.0,67,real_monthly_downscaled,411
2020-01-29,2,13,0,8.8,62,real_monthly_downscaled,411
2020-01-30,2,13,0,8.8,61,real_monthly_downscaled,411
2020-01-31,2,13,0,10.5,60,real_monthly_downscaled,411
2020-01-01,3,7,0,8.9,37,real_monthly_downscaled,235
2020-01-02,3,7,0,11.2,35,real_monthly_downscaled,235
