date,precip_mm,tmax_c,tmin_c,tmean_c,windspeed_kmh,precip_hours,et0_mm,precip_in,tmax_f,tmin_f,tmean_f,heavy_rain,extreme_rain,extreme_heat,heat_emergency,heat_wave_day,weather_stress,year,month,dow,season
2020-01-01,0.0,4.4,-0.5,2.3,28.2,0.0,1.43,0.0,39.92,31.1,36.14,0,0,0,0,0,0,2020,1,2,Winter
2020-01-02,0.0,9.0,-2.2,2.5,17.3,0.0,1.11,0.0,48.2,28.04,36.5,0,0,0,0,0,0,2020,1,3,Winter
2020-01-03,4.0,9.4,2.3,6.6,12.4,12.0,0.56,0.15748031496062992,48.92,36.14,43.879999999999995,0,0,0,0,0,0,2020,1,4,Winter
2020-01-04,6.2,10.1,5.7,7.8,24.9,19.0,0.29,0.2440944881889764,50.18,42.260000000000005,46.04,0,0,0,0,0,0,2020,1,5,Winter
2020-01-05,0.9,5.2,-1.4,2.8,37.1,3.0,1.57,0.03543307086614173,41.36,29.48,37.04,0,0,0,0,0,0,2020,1,6,Winter
2020-01-06,1.3,7.8,-0.4,2.9,25.9,4.0,1.32,0.05118110236220473,46.04,31.28,37.22,0,0,0,0,0,0,2020,1,0,Winter
2020-01-07,0.8,6.1,-0.6,2.6,18.9,5.0,1.19,0.03149606299212599,42.980000000000004,30.92,36.68,0,0,0,0,0,0,2020,1,1,Winter
2020-01-08,0.1,5.1,-1.5,1.0,33.1,1.0,1.48,0.003937007874015749,41.18,29.3,33.8,0,0,0,0,0,0,2020,1,2,Winter
2020-01-09,0.0,0.6,-4.9,-2.1,23.2,0.0,1.26,0.0,33.08,23.18,28.22,0,0,0,0,0,0,2020,1,3,Winter
2020-01-10,0.0,11.2,-1.0,5.0,24.8,0.0,0.91,0.0,52.16,30.2,41.0,0,0,0,0,0,0,2020,1,4,Winter
2020-01-11,0.2,18.4,7.9,13.9,34.2,2.0,1.85,0.007874015748031498,65.12,46.22,57.02,0,0,0,0,0,0,2020,1,5,Winter
2020-01-12,2.7,18.9,6.8,14.8,45.6,5.0,2.43,0.10629921259842522,66.02,44.239999999999995,58.64,0,0,0,0,0,0,2020,1,6,Winter
2020-01-13,0.2,8.9,1.2,4.9,18.4,2.0,0.64,0.007874015748031498,48.02,34.16,40.82,0,0,0,0,0,0,2020,1,0,Winter
2020-01-14,0.3,6.8,1.0,4.2,15.3,2.0,0.48,0.011811023622047244,44.239999999999995,33.8,39.56,0,0,0,0,0,0,2020,1,1,Winter
2020-01-15,0.1,9.4,3.0,5.8,16.1,1.0,1.05,0.003937007874015749,48.92,37.4,42.44,0,0,0,0,0,0,2020,1,2,Winter
2020-01-16,1.8,8.7,1.4,5.7,38.8,9.0,1.62,0.07086614173228346,47.66,34.52,42.260000000000005,0,0,0,0,0,0,2020,1,3,Winter
2020-01-17,0.0,0.9,-5.3,-3.0,34.9,0.0,1.69,0.0,33.62,22.46,26.6,0,0,0,0,0,0,2020,1,4,Winter
2020-01-18,8.4,2.5,-6.2,-3.1,24.2,10.0,0.7,0.33070866141732286,36.5,20.84,26.42,0,0,0,0,0,0,2020,1,5,Winter
2020-01-19,1.5,7.2,-1.1,2.9,28.7,4.0,1.37,0.05905511811023623,44.96,30.02,37.22,0,0,0,0,0,0,2020,1,6,Winter
2020-01-20,0.0,-0.8,-7.1,-3.9,26.1,0.0,1.49,0.0,30.56,19.22,24.98,0,0,0,0,0,0,2020,1,0,Winter
2020-01-21,0.0,1.2,-6.6,-3.4,17.4,0.0,1.23,0.0,34.16,20.12,25.880000000000003,0,0,0,0,0,0,2020,1,1,Winter
2020-01-22,0.0,3.0,-5.3,-2.2,9.4,0.0,1.0,0.0,37.4,22.46,28.04,0,0,0,0,0,0,2020,1,2,Winter
2020-01-23,0.0,7.1,-4.3,0.1,9.9,0.0,1.03,0.0,44.78,24.26,32.18,0,0,0,0,0,0,2020,1,3,Winter
2020-01-24,0.0,9.6,-2.7,2.9,12.7,0.0,1.35,0.0,49.28,27.14,37.22,0,0,0,0,0,0,2020,1,4,Winter
2020-01-25,25.5,9.8,0.9,5.1,34.2,9.0,0.23,1.0039370078740157,49.64,33.62,41.18,1,0,0,0,0,1,2020,1,5,Winter
2020-01-26,0.0,7.9,0.9,4.0,22.7,0.0,1.24,0.0,46.22,33.62,39.2,0,0,0,0,0,0,2020,1,6,Winter
2020-01-27,0.0,7.3,-0.3,3.3,22.3,0.0,1.17,0.0,45.14,31.46,37.94,0,0,0,0,0,0,2020,1,0,Winter
2020-01-28,0.0,5.5,-0.3,3.0,22.4,0.0,1.43,0.0,41.9,31.46,37.4,0,0,0,0,0,0,2020,1,1,Winter
2020-01-29,0.0,4.4,-2.3,0.7,19.0,0.0,1.53,0.0,39.92,27.86,33.26,0,0,0,0,0,0,2020,1,2,Winter
2020-01-30,0.0,1.4,-5.4,-1.9,16.3,0.0,1.1,0.0,34.52,22.28,28.580000000000002,0,0,0,0,0,0,2020,1,3,Winter
2020-01-31,1.0,6.4,-2.7,2.2,11.9,3.0,0.78,0.03937007874015748,43.519999999999996,27.14,35.96,0,0,0,0,0,0,2020,1,4,Winter
2020-02-01,0.4,5.7,-0.8,2.6,6.6,3.0,0.48,0.015748031496062995,42.260000000000005,30.56,36.68,0,0,0,0,0,0,2020,2,5,Winter
2020-02-02,3.2,6.2,0.5,2.8,20.3,17.0,0.95,0.12598425196850396,43.16,32.9,37.04,0,0,0,0,0,0,2020,2,6,Winter
2020-02-03,0.5,12.5,0.2,5.8,18.5,2.0,1.57,0.01968503937007874,54.5,32.36,42.44,0,0,0,0,0,0,2020,2,0,Winter
