station,lat,lon,borough,structure,lines,primary_line,line_color,flood_risk,heat_risk,vulnerability,economic_exposure,composite_risk
Astoria-Ditmars Blvd,40.775036,-73.912034,Q,elevated,N W,N,#FCCC0A,7.21,5.78,6.5,2.81,6.2
Astoria Blvd,40.770258,-73.917843,Q,elevated,N W,N,#FCCC0A,7.21,5.78,6.5,2.81,6.2
30 Av,40.766779,-73.921479,Q,elevated,N W,N,#FCCC0A,7.21,5.78,6.5,2.81,6.2
Broadway,40.76182,-73.925508,Q,elevated,N W,N,#FCCC0A,7.21,5.78,6.5,2.81,6.2
36 Av,40.756804,-73.929575,Q,elevated,N W,N,#FCCC0A,7.21,5.78,6.5,2.81,6.2
39 Av-Dutch Kills,40.752882,-73.932755,Q,elevated,N W,N,#FCCC0A,7.21,5.78,6.5,2.81,6.2
Lexington Av/59 St,40.76266,-73.967258,M,subway,N R W,N,#FCCC0A,7.59,6.2,6.17,3.38,6.47
5 Av/59 St,40.764811,-73.973347,M,subway,N R W,N,#FCCC0A,7.59,6.2,6.17,3.38,6.47
57 St-7 Av,40.764664,-73.980658,M,subway,N Q R W,N,#FCCC0A,7.64,6.21,6.12,3.62,6.51
49 St,40.759901,-73.984139,M,subway,N R W,N,#FCCC0A,7.59,6.2,6.17,3.38,6.47
Times Sq-42 St,40.754672,-73.986754,M,subway,N Q R W,N,#FCCC0A,7.64,6.21,6.12,3.62,6.51
34 St-Herald Sq,40.749567,-73.98795,M,subway,N Q R W,N,#FCCC0A,7.64,6.21,6.12,3.62,6.51
28 St,40.745494,-73.988691,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
23 St,40.741303,-73.989344,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
14 St-Union Sq,40.735736,-73.990568,M,subway,N Q R W,N,#FCCC0A,7.64,6.21,6.12,3.62,6.51
8 St-NYU,40.730328,-73.992629,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
Prince St,40.724329,-73.997702,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
Canal St,40.719527,-74.001775,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
Canal St,40.718383,-74.00046,M,subway,N Q,N,#FCCC0A,8.11,6.4,6.25,4.25,6.84
City Hall,40.713282,-74.006978,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
Cortlandt St,40.710668,-74.011029,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
Rector St,40.70722,-74.013342,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
Whitehall St-South Ferry,40.703087,-74.012994,M,subway,R W,R,#FCCC0A,7.17,6.02,6.0,3.0,6.18
Court St,40.6941,-73.991777,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
Jay St-MetroTech,40.69218,-73.985942,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
DeKalb Av,40.690635,-73.981824,Bk,subway,B Q R,B,#FF6319,7.6,6.56,6.17,4.08,6.65
Atlantic Av-Barclays Ctr,40.683666,-73.97881,Bk,subway,D N R,D,#FF6319,8.03,6.74,6.33,4.17,6.92
Union St,40.677316,-73.98311,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
4 Av-9 St,40.670847,-73.988302,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
Prospect Av,40.665414,-73.992872,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
25 St,40.660397,-73.998091,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
36 St,40.655144,-74.003549,Bk,subway,D N R,D,#FF6319,8.03,6.74,6.33,4.17,6.92
45 St,40.648939,-74.010006,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
53 St,40.645069,-74.014034,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
59 St,40.641362,-74.017881,Bk,subway,N R,N,#FCCC0A,8.38,6.81,6.5,4.31,7.13
Bay Ridge Av,40.634967,-74.023377,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
77 St,40.629742,-74.02551,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
86 St,40.622687,-74.028398,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
Bay Ridge-95 St,40.616622,-74.030876,Bk,subway,R,R,#FCCC0A,8.35,7.05,6.5,4.5,7.2
Atlantic Av-Barclays Ctr,40.68446,-73.97689,Bk,subway,B Q,B,#FF6319,7.23,6.32,6.0,3.88,6.38
7 Av,40.67705,-73.972367,Bk,subway,B Q,B,#FF6319,7.23,6.32,6.0,3.88,6.38
Prospect Park,40.661614,-73.962246,Bk,open cut,B Q S,B,#FF6319,6.49,5.88,6.67,3.0,5.99
Parkside Av,40.655292,-73.961495,Bk,open cut,Q,Q,#FCCC0A,7.8,6.24,7.0,4.38,6.83
Church Av,40.650527,-73.962982,Bk,open cut,B Q,B,#FF6319,7.23,6.32,7.0,3.88,6.58
Beverley Rd,40.644031,-73.964492,Bk,open cut,Q,Q,#FCCC0A,7.8,6.24,7.0,4.38,6.83
Cortelyou Rd,40.640927,-73.963891,Bk,open cut,Q,Q,#FCCC0A,7.8,6.24,7.0,4.38,6.83
Newkirk Plaza,40.635082,-73.962793,Bk,open cut,B Q,B,#FF6319,7.23,6.32,7.0,3.88,6.58
Avenue H,40.62927,-73.961639,Bk,open cut,Q,Q,#FCCC0A,7.8,6.24,7.0,4.38,6.83
Avenue J,40.625039,-73.960803,Bk,open cut,Q,Q,#FCCC0A,7.8,6.24,7.0,4.38,6.83
Avenue M,40.617618,-73.959399,Bk,open cut,Q,Q,#FCCC0A,7.8,6.24,7.0,4.38,6.83
Kings Hwy,40.60867,-73.957734,Bk,open cut,B Q,B,#FF6319,7.23,6.32,7.0,3.88,6.58
Avenue U,40.5993,-73.955929,Bk,open cut,Q,Q,#FCCC0A,7.8,6.24,7.0,4.38,6.83
Neck Rd,40.595246,-73.955161,Bk,open cut,Q,Q,#FCCC0A,7.8,6.24,7.0,4.38,6.83
Sheepshead Bay,40.586896,-73.954155,Bk,open cut,B Q,B,#FF6319,7.23,6.32,7.0,3.88,6.58
Brighton Beach,40.577621,-73.961376,Bk,elevated,B Q,B,#FF6319,7.23,6.32,6.5,3.88,6.48
Ocean Pkwy,40.576312,-73.968501,Bk,elevated,Q,Q,#FCCC0A,7.8,6.24,6.5,4.38,6.73
W 8 St-NY Aquarium,40.576127,-73.975939,Bk,elevated,F Q,F,#FF6319,8.45,6.62,6.75,5.88,7.3
Coney Island-Stillwell Av,40.577422,-73.981233,Bk,viaduct,D F N Q,D,#FF6319,8.16,6.61,6.25,4.94,6.99
9 Av,40.646292,-73.994324,Bk,open cut,D,D,#FF6319,7.34,6.61,7.0,3.88,6.71
Fort Hamilton Pkwy,40.640914,-73.994304,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
50 St,40.63626,-73.994791,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
55 St,40.631435,-73.995476,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
62 St,40.626472,-73.996895,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
71 St,40.619589,-73.998864,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
79 St,40.613501,-74.00061,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
18 Av,40.607954,-74.001736,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
20 Av,40.604556,-73.998168,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
Bay Pkwy,40.601875,-73.993728,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
25 Av,40.597704,-73.986829,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
Bay 50 St,40.588841,-73.983765,Bk,elevated,D,D,#FF6319,7.34,6.61,6.5,3.88,6.61
